"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Motovehículos",2023,4,"Catamarca","K",187,"10"
"Motovehículos",2023,4,"Chaco","H",538,"22"
"Motovehículos",2023,4,"Chubut","U",203,"26"
"Motovehículos",2023,4,"Ciudad Autónoma de Bs.As.","C",1674,"02"
"Motovehículos",2023,4,"Córdoba","X",5047,"14"
"Motovehículos",2023,4,"Corrientes","W",698,"18"
"Motovehículos",2023,4,"Entre Ríos","E",2061,"30"
"Motovehículos",2023,4,"Formosa","P",146,"34"
"Motovehículos",2023,4,"Jujuy","Y",113,"38"
"Motovehículos",2023,4,"La Pampa","L",548,"42"
"Motovehículos",2023,4,"La Rioja","F",227,"46"
"Motovehículos",2023,4,"Mendoza","M",1533,"50"
"Motovehículos",2023,4,"Misiones","N",620,"54"
"Motovehículos",2023,4,"Neuquén","Q",418,"58"
"Motovehículos",2023,4,"Río Negro","R",453,"62"
"Motovehículos",2023,4,"Salta","A",272,"66"
"Motovehículos",2023,4,"San Juan","J",411,"70"
"Motovehículos",2023,4,"San Luis","D",547,"74"
"Motovehículos",2023,4,"Santa Cruz","Z",52,"78"
"Motovehículos",2023,4,"Santa Fe","S",4601,"82"
"Motovehículos",2023,4,"Santiago del Estero","G",292,"86"
"Motovehículos",2023,4,"Tierra del Fuego","V",62,"94"
"Motovehículos",2023,4,"Tucumán","T",664,"90"
"Motovehículos",2023,5,"Buenos Aires","B",14626,"06"
"Motovehículos",2023,5,"Catamarca","K",187,"10"
"Motovehículos",2023,5,"Chaco","H",566,"22"
"Motovehículos",2023,5,"Chubut","U",218,"26"
"Motovehículos",2023,5,"Ciudad Autónoma de Bs.As.","C",1784,"02"
"Motovehículos",2023,5,"Córdoba","X",5327,"14"
"Motovehículos",2023,5,"Corrientes","W",784,"18"
"Motovehículos",2023,5,"Entre Ríos","E",2113,"30"
"Motovehículos",2023,5,"Formosa","P",196,"34"
"Motovehículos",2023,5,"Jujuy","Y",145,"38"
"Motovehículos",2023,5,"La Pampa","L",541,"42"
"Motovehículos",2023,5,"La Rioja","F",232,"46"
"Motovehículos",2023,5,"Mendoza","M",1707,"50"
"Motovehículos",2023,5,"Misiones","N",662,"54"
"Motovehículos",2023,5,"Neuquén","Q",420,"58"
"Motovehículos",2023,5,"Río Negro","R",516,"62"
"Motovehículos",2023,5,"Salta","A",277,"66"
"Motovehículos",2023,5,"San Juan","J",436,"70"
"Motovehículos",2023,5,"San Luis","D",510,"74"
"Motovehículos",2023,5,"Santa Cruz","Z",62,"78"
"Motovehículos",2023,5,"Santa Fe","S",5077,"82"
"Motovehículos",2023,5,"Santiago del Estero","G",307,"86"
"Motovehículos",2023,5,"Tierra del Fuego","V",56,"94"
"Motovehículos",2023,5,"Tucumán","T",760,"90"
"Motovehículos",2023,6,"Buenos Aires","B",13444,"06"
"Motovehículos",2023,6,"Catamarca","K",163,"10"
"Motovehículos",2023,6,"Chaco","H",588,"22"
"Motovehículos",2023,6,"Chubut","U",170,"26"
"Motovehículos",2023,6,"Ciudad Autónoma de Bs.As.","C",1582,"02"
"Motovehículos",2023,6,"Córdoba","X",4839,"14"
"Motovehículos",2023,6,"Corrientes","W",755,"18"
"Motovehículos",2023,6,"Entre Ríos","E",1951,"30"
"Motovehículos",2023,6,"Formosa","P",177,"34"
"Motovehículos",2023,6,"Jujuy","Y",137,"38"
"Motovehículos",2023,6,"La Pampa","L",477,"42"
"Motovehículos",2023,6,"La Rioja","F",197,"46"
"Motovehículos",2023,6,"Mendoza","M",1567,"50"
"Motovehículos",2023,6,"Misiones","N",613,"54"
"Motovehículos",2023,6,"Neuquén","Q",390,"58"
"Motovehículos",2023,6,"Río Negro","R",445,"62"
"Motovehículos",2023,6,"Salta","A",244,"66"
"Motovehículos",2023,6,"San Juan","J",417,"70"
"Motovehículos",2023,6,"San Luis","D",516,"74"
"Motovehículos",2023,6,"Santa Cruz","Z",61,"78"
"Motovehículos",2023,6,"Santa Fe","S",4324,"82"
"Motovehículos",2023,6,"Santiago del Estero","G",312,"86"
"Motovehículos",2023,6,"Tierra del Fuego","V",44,"94"
"Motovehículos",2023,6,"Tucumán","T",654,"90"
"Motovehículos",2023,7,"Buenos Aires","B",14562,"06"
