"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Maquinarias",2014,10,"Córdoba","X",140,"14"
"Maquinarias",2014,10,"Corrientes","W",10,"18"
"Maquinarias",2014,10,"Entre Ríos","E",24,"30"
"Maquinarias",2014,10,"Formosa","P",0,"34"
"Maquinarias",2014,10,"Jujuy","Y",0,"38"
"Maquinarias",2014,10,"La Pampa","L",6,"42"
"Maquinarias",2014,10,"Mendoza","M",8,"50"
"Maquinarias",2014,10,"Misiones","N",2,"54"
"Maquinarias",2014,10,"Neuquén","Q",4,"58"
"Maquinarias",2014,10,"Río Negro","R",1,"62"
"Maquinarias",2014,10,"Salta","A",5,"66"
"Maquinarias",2014,10,"San Juan","J",1,"70"
"Maquinarias",2014,10,"San Luis","D",1,"74"
"Maquinarias",2014,10,"Santa Cruz","Z",4,"78"
"Maquinarias",2014,10,"Santa Fe","S",100,"82"
"Maquinarias",2014,10,"Santiago del Estero","G",2,"86"
"Maquinarias",2014,10,"Tierra del Fuego","V",2,"94"
"Maquinarias",2014,10,"Tucumán","T",1,"90"
"Maquinarias",2014,11,"Buenos Aires","B",79,"06"
"Maquinarias",2014,11,"Catamarca","K",0,"10"
"Maquinarias",2014,11,"Chaco","H",6,"22"
"Maquinarias",2014,11,"Chubut","U",1,"26"
"Maquinarias",2014,11,"Ciudad Autónoma de Bs.As.","C",193,"02"
"Maquinarias",2014,11,"Córdoba","X",142,"14"
"Maquinarias",2014,11,"Corrientes","W",3,"18"
"Maquinarias",2014,11,"Entre Ríos","E",24,"30"
"Maquinarias",2014,11,"Formosa","P",3,"34"
"Maquinarias",2014,11,"Jujuy","Y",4,"38"
"Maquinarias",2014,11,"La Pampa","L",7,"42"
"Maquinarias",2014,11,"Mendoza","M",7,"50"
"Maquinarias",2014,11,"Misiones","N",0,"54"
"Maquinarias",2014,11,"Neuquén","Q",5,"58"
"Maquinarias",2014,11,"Río Negro","R",1,"62"
"Maquinarias",2014,11,"Salta","A",6,"66"
"Maquinarias",2014,11,"San Juan","J",0,"70"
"Maquinarias",2014,11,"San Luis","D",3,"74"
"Maquinarias",2014,11,"Santa Cruz","Z",1,"78"
"Maquinarias",2014,11,"Santa Fe","S",87,"82"
"Maquinarias",2014,11,"Santiago del Estero","G",2,"86"
"Maquinarias",2014,11,"Tierra del Fuego","V",1,"94"
"Maquinarias",2014,11,"Tucumán","T",4,"90"
"Maquinarias",2014,12,"Buenos Aires","B",79,"06"
"Maquinarias",2014,12,"Catamarca","K",0,"10"
"Maquinarias",2014,12,"Chaco","H",4,"22"
"Maquinarias",2014,12,"Chubut","U",3,"26"
"Maquinarias",2014,12,"Ciudad Autónoma de Bs.As.","C",198,"02"
"Maquinarias",2014,12,"Córdoba","X",128,"14"
"Maquinarias",2014,12,"Corrientes","W",8,"18"
"Maquinarias",2014,12,"Entre Ríos","E",14,"30"
"Maquinarias",2014,12,"Formosa","P",2,"34"
"Maquinarias",2014,12,"Jujuy","Y",0,"38"
"Maquinarias",2014,12,"La Pampa","L",9,"42"
"Maquinarias",2014,12,"Mendoza","M",5,"50"
"Maquinarias",2014,12,"Misiones","N",3,"54"
"Maquinarias",2014,12,"Neuquén","Q",4,"58"
"Maquinarias",2014,12,"Río Negro","R",1,"62"
"Maquinarias",2014,12,"Salta","A",4,"66"
"Maquinarias",2014,12,"San Juan","J",0,"70"
"Maquinarias",2014,12,"San Luis","D",4,"74"
"Maquinarias",2014,12,"Santa Cruz","Z",0,"78"
"Maquinarias",2014,12,"Santa Fe","S",88,"82"
"Maquinarias",2014,12,"Santiago del Estero","G",0,"86"
"Maquinarias",2014,12,"Tierra del Fuego","V",1,"94"
"Maquinarias",2014,12,"Tucumán","T",2,"90"
"Maquinarias",2015,1,"Buenos Aires","B",58,"06"
"Maquinarias",2015,1,"Catamarca","K",0,"10"
"Maquinarias",2015,1,"Chaco","H",5,"22"
"Maquinarias",2015,1,"Chubut","U",0,"26"
"Maquinarias",2015,1,"Ciudad Autónoma de Bs.As.","C",223,"02"
"Maquinarias",2015,1,"Córdoba","X",117,"14"
