"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Maquinarias",2015,3,"Córdoba","X",122,"14"
"Maquinarias",2015,3,"Corrientes","W",8,"18"
"Maquinarias",2015,3,"Entre Ríos","E",30,"30"
"Maquinarias",2015,3,"Formosa","P",7,"34"
"Maquinarias",2015,3,"Jujuy","Y",6,"38"
"Maquinarias",2015,3,"La Pampa","L",2,"42"
"Maquinarias",2015,3,"La Rioja","F",0,"46"
"Maquinarias",2015,3,"Mendoza","M",40,"50"
"Maquinarias",2015,3,"Misiones","N",8,"54"
"Maquinarias",2015,3,"Neuquén","Q",7,"58"
"Maquinarias",2015,3,"Río Negro","R",6,"62"
"Maquinarias",2015,3,"Salta","A",9,"66"
"Maquinarias",2015,3,"San Juan","J",5,"70"
"Maquinarias",2015,3,"San Luis","D",1,"74"
"Maquinarias",2015,3,"Santa Cruz","Z",1,"78"
"Maquinarias",2015,3,"Santa Fe","S",112,"82"
"Maquinarias",2015,3,"Santiago del Estero","G",1,"86"
"Maquinarias",2015,3,"Tierra del Fuego","V",0,"94"
"Maquinarias",2015,3,"Tucumán","T",12,"90"
"Maquinarias",2015,4,"Buenos Aires","B",126,"06"
"Maquinarias",2015,4,"Catamarca","K",7,"10"
"Maquinarias",2015,4,"Chaco","H",11,"22"
"Maquinarias",2015,4,"Chubut","U",3,"26"
"Maquinarias",2015,4,"Ciudad Autónoma de Bs.As.","C",222,"02"
"Maquinarias",2015,4,"Córdoba","X",135,"14"
"Maquinarias",2015,4,"Corrientes","W",10,"18"
"Maquinarias",2015,4,"Entre Ríos","E",32,"30"
"Maquinarias",2015,4,"Formosa","P",4,"34"
"Maquinarias",2015,4,"Jujuy","Y",4,"38"
"Maquinarias",2015,4,"La Pampa","L",13,"42"
"Maquinarias",2015,4,"La Rioja","F",0,"46"
